	"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
maeB	3712.848859	3306.146349	4322.902625	1.307535169	0.386849751	0.000578275	0.008515164
dsrB	296.5494405	339.0285884	232.8307187	0.686758364	-0.542125519	0.000583361	0.008515164
t1344	86.04110442	100.7336921	64.00222284	0.635360637	-0.654352382	0.000582651	0.008515164
t3096	839.9481994	744.9042927	982.5140594	1.318980262	0.399422976	0.000583717	0.008515164
ribH	358.5223589	300.985235	444.8280448	1.477906532	0.563555031	0.000596599	0.008644681
sfhB	3065.214882	3399.025228	2564.499363	0.754480826	-0.406443857	0.000594907	0.008644681
t2541	18934.76541	16278.44776	22919.24188	1.407950084	0.493596187	0.00061126	0.008827496
bcfD	79.96942609	93.29895434	59.97513372	0.642827502	-0.637496443	0.000616996	0.008880631
dsbB	1332.684161	1185.133638	1554.009946	1.311252922	0.390945987	0.000619765	0.008890842
yecI	353.8933846	397.8957257	287.8898729	0.723530951	-0.466873361	0.000639006	0.009136516
pntA	1813.690591	1614.070874	2113.120167	1.309186728	0.388670883	0.000655972	0.009348138
nlpB	2242.189575	1990.059791	2620.38425	1.316736443	0.396966605	0.000669248	0.009505957
t2852	1447.938871	1597.583722	1223.471596	0.765826278	-0.38491093	0.000675112	0.009557814
pntB	940.0161544	832.2498784	1101.665568	1.323719711	0.404597673	0.000687116	0.009695968
nuoF	1414.668979	1253.390359	1656.586911	1.32168474	0.402378094	0.000696132	0.009791199
tnpA	82.33038707	102.1072732	52.66505781	0.515781649	-0.955167649	0.000700379	0.009818953
t0938	383.2934838	424.4181715	321.6064522	0.757758442	-0.400190076	0.000705027	0.009852132
rplQ	2247.122465	1985.025919	2640.267284	1.330092095	0.411526141	0.000707616	0.009856401
t2461	7640.808711	6748.912255	8978.653396	1.330385262	0.411844091	0.000712186	0.009888162
nagE	1068.575437	954.8733368	1239.128587	1.297688959	0.375944628	0.000726325	0.010052158
t4550	930.0021828	829.8346282	1080.253515	1.301769627	0.380474159	0.000731705	0.01009425
lepB	932.1223572	827.1381736	1089.598632	1.317311505	0.397596541	0.00073757	0.010139058
eutE	26.50917447	17.66848444	39.7702095	2.250912331	1.170509867	0.000739649	0.010139058
hofC	153.0825684	176.622209	117.7731075	0.666808032	-0.584656613	0.000744297	0.01017049
t2359	1018.122877	896.3883783	1200.724626	1.339513826	0.421709472	0.000752827	0.010254594
pduL	13.82255575	8.953833936	21.12563847	2.359395832	1.238417478	0.000776941	0.010549777
t1611	117.856573	134.5127541	92.87230124	0.69043491	-0.534422683	0.000795945	0.010773948
spaT	167.364127	144.7845569	201.2334823	1.389882227	0.47496264	0.000802303	0.010826076
prfH	457.1546222	402.5830777	539.0119388	1.338883745	0.421030697	0.000805548	0.010836
yaaH	141.0605474	160.4359846	111.9973917	0.698081493	-0.51853263	0.000821156	0.010977553
t1895	16.27864574	21.87547814	7.883397136	0.360375992	-1.472425191	0.000819372	0.010977553
citC	336.8064753	376.0163946	277.9915963	0.739307116	-0.435754295	0.000833399	0.011106836
cheW	479.6537242	399.6041976	599.728014	1.500805091	0.585736626	0.000837229	0.011112504
narI	212.7609401	240.4839423	171.1764369	0.711799862	-0.490456442	0.000838971	0.011112504
msyB	299.5899572	338.0414324	241.9127445	0.715630456	-0.482713307	0.000845747	0.011167997
t4272	21.44125713	15.32295849	30.61870509	1.99822411	0.998718397	0.000854204	0.011245289
cyoC	3047.860167	2728.300694	3527.199376	1.292819147	0.37052047	0.000863836	0.011337517
t3226	256.6075631	221.9680613	308.5668159	1.390140609	0.475230815	0.000897151	0.011705215
yjbO	565.9197943	475.1798344	702.029734	1.477397994	0.563058524	0.000897273	0.011705215
murE	305.9524287	263.4984179	369.633445	1.402791895	0.488301	0.000906441	0.01178919
t1175	1184.034411	1051.017599	1383.559628	1.316400057	0.396597994	0.000917741	0.011900322
t4267	97.48131062	112.836966	74.44782762	0.659782253	-0.599938122	0.000936295	0.012104559
t4555	395.1223946	438.4354501	330.1528115	0.753024901	-0.409230522	0.000943762	0.012164675
hisM	232.5949786	202.1626192	278.2435176	1.376335144	0.460831816	0.000951495	0.012227839
t0717	14.72794224	19.24465323	7.95287574	0.413251184	-1.274909141	0.001021142	0.013083954
t2659	174.9318887	197.2458454	141.4609536	0.717180904	-0.479591021	0.001031515	0.013100246
uxuB	2486.385769	2210.382465	2900.390726	1.312166909	0.391951244	0.001030132	0.013100246
yjeF	227.9521125	256.1077812	185.7186094	0.725158012	-0.463632703	0.001027116	0.013100246
gor	1735.109118	1541.104275	2026.116383	1.314717256	0.394752566	0.001036416	0.013123886
vexB	4254.489788	3785.71222	4957.656141	1.309570261	0.389093466	0.001041824	0.013153785
zntR	1303.950957	1439.832896	1100.128047	0.764066476	-0.388229932	0.001046236	0.013170988
t0405	228.8062286	259.6177735	182.5889113	0.703298965	-0.507790002	0.001050104	0.013181245
cpxA	1193.898911	1074.510593	1372.981388	1.277773711	0.353632362	0.001059975	0.013266589
folE	1438.651608	1588.115421	1214.455888	0.764715128	-0.38700568	0.001065259	0.013294181
t1556	753.2965929	836.1644537	628.9948017	0.75223815	-0.41073862	0.001072848	0.013350311
mraY	407.9767913	361.9813593	476.9699394	1.317664369	0.397982939	0.001089406	0.013517398
pduG	141.2636014	163.437918	108.0021265	0.66081438	-0.597683013	0.001099542	0.013565205
phrB	128.6935507	111.4213228	154.6018925	1.387543143	0.47253263	0.001098703	0.013565205
t2163	229.8023391	192.771686	285.3483186	1.480239782	0.565830895	0.001117452	0.013746888
htrA	7098.653524	6340.756017	8235.499785	1.298819851	0.37720134	0.001125103	0.013801694
pdxH	1000.48153	1100.841537	849.9415182	0.772083438	-0.37317133	0.001137563	0.013875967
ydeV	2266.464609	2498.343501	1918.646271	0.767967363	-0.380883094	0.001137585	0.013875967
hyaC	62.5539584	75.60078555	42.98371768	0.568561786	-0.814610958	0.001173718	0.014276373
t0524	494.9173214	443.932807	571.3940931	1.28711842	0.364144793	0.001178814	0.014298083
rpsL	1182.162351	1298.060306	1008.315418	0.776786265	-0.364410403	0.00121185	0.014657615
galU	1142.304304	1023.990618	1319.774833	1.288854418	0.366089314	0.001243773	0.014886168
safC	616.2463179	546.8437063	720.3502353	1.317287238	0.397569963	0.001246741	0.014886168
srlM	154.0658165	175.3407471	122.1534205	0.696663054	-0.521467039	0.001247984	0.014886168
yiiF	554.2808732	617.7127097	459.1331185	0.743279378	-0.428023514	0.001247419	0.014886168
t3815	518.310004	462.12026	602.5946201	1.30397793	0.382919452	0.001234412	0.014886168
t3883	259.9686383	232.1536611	301.691104	1.299531967	0.377992123	0.001251809	0.014890662
ssaH	48107.35085	54219.46943	38939.17298	0.718176946	-0.477588752	0.00126559	0.014998833
hypB	173.9693501	149.4992084	210.6745628	1.409201861	0.494878286	0.001267849	0.014998833
glpC	4234.802546	3775.607541	4923.595054	1.304053719	0.383003301	0.001275953	0.015053453
cdtB	532.9025066	595.4632972	439.0613207	0.737344053	-0.439590142	0.001281289	0.015075218
t1527	281.3429951	312.8603238	234.0670021	0.748151761	-0.418597148	0.00129647	0.015121753
t3054	20.67862646	26.2210357	12.36501258	0.471568428	-1.084460964	0.001292512	0.015121753
tatB	2307.137681	2530.493297	1972.104257	0.779335894	-0.35968283	0.001297289	0.015121753
t3413	600.8629843	659.948167	512.2352102	0.776174912	-0.365546293	0.001299252	0.015121753
proY	551.6128014	493.246341	639.1624921	1.295828147	0.3738744	0.001311445	0.015222629
t4169	994.2075535	841.6897467	1222.984264	1.453010766	0.539045392	0.001326183	0.015352433
staE	281.5436414	314.3509311	232.3327069	0.739087064	-0.436183771	0.001358859	0.015688646
t1443	211.0358492	236.2036698	173.2841182	0.733621617	-0.446891945	0.001402256	0.016146509
t0336	2010.615339	1803.300609	2321.587434	1.287410109	0.364471703	0.00141003	0.016192841
t1574	22.69310971	28.40886946	14.11947008	0.497009221	-1.008655476	0.001484462	0.017002404
rph	497.4709901	445.5699503	575.3225496	1.291205902	0.368719078	0.001502803	0.017166937
chaA	458.5941695	410.1336217	531.2849913	1.295394874	0.373391941	0.001515451	0.017265744
fruA	123.5585069	105.8333315	150.1462701	1.418704939	0.504574571	0.001541948	0.017475408
lppA	5352.564358	4564.474834	6534.698643	1.431643043	0.517671825	0.001541694	0.017475408
t4298	18.16623997	23.83061427	9.669678535	0.40576707	-1.301276306	0.001556538	0.017594586
t3198	1176.235157	1042.822585	1376.354016	1.319835259	0.400357864	0.001577818	0.01778856
spaP	116.8659801	96.72882076	147.0717191	1.520453966	0.604502137	0.001599138	0.017981976
baeR	576.1492058	642.0063512	477.3634878	0.743549479	-0.427499347	0.00162417	0.018216014
ybaV	63.99507293	51.53937636	82.67861777	1.604183512	0.681839189	0.001652519	0.018485946
fur	4782.623908	5266.616888	4056.634438	0.770254325	-0.376593216	0.001661059	0.018533469
t1363	111.8811411	127.2847462	88.77573351	0.697457756	-0.519822257	0.001667477	0.018557133
birA	1076.59506	971.6768685	1233.972348	1.269941055	0.344761535	0.00168432	0.018696384
dppD	68.1486427	55.89500784	86.52909499	1.548064815	0.630465876	0.001692783	0.018742148
pta	387.4174378	348.8269134	445.3032244	1.276573588	0.352276704	0.001714896	0.018938414
t2738	289.9082965	328.9270483	231.3801687	0.703439166	-0.50750243	0.001734228	0.019103057
glpR	496.5840828	548.0899685	419.3252543	0.765066464	-0.386343009	0.001753689	0.019268263
ybiJ	724.1041125	627.5593011	868.9213297	1.384604336	0.469473772	0.00179878	0.019713534
iroN	193.7208725	217.2505365	158.4263766	0.729233534	-0.455547189	0.001811261	0.019800062
t1138	205.2381027	229.982139	168.1220482	0.731022195	-0.452012885	0.001826972	0.019882152
t1377	13.45886064	8.368891354	21.09381457	2.520502857	1.33371159	0.001832584	0.019882152
clpA	11149.18541	9940.495145	12962.2208	1.303981403	0.382923294	0.001829133	0.019882152
phsA	1109.800745	957.3780963	1338.434717	1.398021035	0.483386068	0.001864415	0.019996013
t1148	2663.285517	2398.19122	3060.926963	1.276348165	0.352021924	0.001866791	0.019996013
sdhA	16670.04313	14861.94899	19382.18434	1.304148222	0.383107847	0.001855915	0.019996013
sitC	124.4042186	107.6558354	149.5267935	1.388933474	0.4739775	0.001870864	0.019996013
t2974	680.5798574	607.3369396	790.444234	1.301492108	0.380166564	0.001865168	0.019996013
t3229	109.0864631	94.45943151	131.0270104	1.387124699	0.472097488	0.001848328	0.019996013
t1171	3472.479061	3129.180989	3987.426169	1.274271505	0.349672701	0.001887889	0.020083296
t4265	130.0016357	148.3331762	102.5043251	0.691041126	-0.533156523	0.001888332	0.020083296
nusA	1644.350019	1469.395405	1906.78194	1.297664287	0.375917199	0.00193032	0.02042922
t3445	52.68721624	62.0050017	38.71053804	0.624313152	-0.679658237	0.001929358	0.02042922
t1407	198.4360201	227.6297814	154.645378	0.679372343	-0.557725607	0.001951475	0.020552363
artM	259.2835084	228.9659646	304.7598242	1.331026752	0.412539568	0.001947213	0.020552363
t0699	200.3869577	224.3751312	164.4046974	0.732722457	-0.448661262	0.001968677	0.020582921
secB	2279.531178	2056.852722	2613.548863	1.270654352	0.345571637	0.001965443	0.020582921
t4182	370.5976208	412.4146815	307.8720298	0.746510839	-0.421764887	0.001967355	0.020582921
t1451	100.6776443	114.8058926	79.4852719	0.692344879	-0.530437225	0.001991401	0.020770217
selB	374.7017124	334.3025311	435.3004844	1.302115431	0.380857348	0.002027657	0.0210974
exo	283.6382245	314.7961785	236.9012933	0.75255454	-0.410131953	0.00203707	0.021140184
t3385	76.59321024	64.61716364	94.55728013	1.463346189	0.549271113	0.00204156	0.021140184
t3891	10150.4348	11405.46419	8267.890717	0.724906113	-0.46413394	0.002062756	0.021308566
ybaR	733.5228417	662.9515439	839.3797884	1.2661254	0.340420299	0.002113593	0.021781611
t1066	628.5472905	694.925127	528.9805358	0.761205078	-0.393642908	0.002133995	0.021887392
iadA	409.7840041	348.3521912	501.9317236	1.440874311	0.526944493	0.002130725	0.021887392
astC	821.2718628	740.2205685	942.8488043	1.273740348	0.349071214	0.002189786	0.022406385
t1340	371.0534648	323.7907092	441.9475982	1.364917478	0.448813729	0.002200634	0.02246415
yaaF	754.3247608	679.6483008	866.3394507	1.274687879	0.35014403	0.002207217	0.022478211
tar	3923.504509	3461.680377	4616.240707	1.333525977	0.415245929	0.002297425	0.02328705
t1584	635.636369	715.2671811	516.1901509	0.721674592	-0.470579633	0.00229474	0.02328705
t4552	19.35137312	25.0106376	10.8624764	0.434314254	-1.203188794	0.002325	0.023511353
ftnA	2204.777057	1987.455782	2530.758969	1.273366176	0.348647348	0.002346259	0.023670902
sanA	785.8462363	880.7268521	643.5253126	0.73067525	-0.452697755	0.002379054	0.023890125
frdB	472.2792017	421.1356585	548.9945166	1.30360492	0.382506703	0.002377254	0.023890125
rplN	4444.389962	4869.297437	3807.028749	0.781843541	-0.355048165	0.002410427	0.02414901
sdhB	10853.25132	9667.474607	12631.91639	1.306640762	0.385862552	0.00243111	0.024299844
codB	198.4554713	228.1197238	153.9590926	0.674904783	-0.567244118	0.002446544	0.024397638
t3257	1007.559404	1115.836444	845.1438427	0.757408352	-0.400856765	0.002472817	0.024602816
csrA	562.5700122	620.5942063	475.5337209	0.766255495	-0.38410258	0.002485453	0.024615107
torT	523.8330089	573.2178909	449.7556859	0.784615576	-0.349942118	0.002484084	0.024615107
dgt	841.0291978	758.8149971	964.3504988	1.270863784	0.345809405	0.002540775	0.024934241
gltL	350.1438454	310.2299887	410.0146304	1.321647311	0.402337237	0.002534241	0.024934241
acrB	2008.715599	1821.945646	2288.87053	1.256278164	0.329155939	0.002535966	0.024934241
t3174	27.44960445	20.52713456	37.83330929	1.843087703	0.882124723	0.002524867	0.024934241
gyrA	3896.891051	3512.996856	4472.732344	1.273195658	0.348454142	0.002612958	0.025569864
cyoB	11285.80642	10075.71344	13100.94588	1.300249948	0.37878898	0.002617388	0.025569864
t0923	304.524722	252.8911137	381.9751343	1.510433201	0.594962382	0.002638609	0.025718994
t1461	168.8799425	189.7262533	137.6104764	0.725310673	-0.463329017	0.002695612	0.02621543
envZ	364.8042242	323.0255508	427.4722344	1.323338768	0.404182431	0.002748354	0.026668301
yabC	1916.950343	1720.737779	2211.26919	1.285070402	0.361847399	0.002797706	0.027086314
yihQ	248.4210207	218.9198838	292.672726	1.336894214	0.418885312	0.00280781	0.027123315
ygaF	247.3533121	219.0472258	289.8124416	1.323059174	0.403877588	0.002842375	0.027395925
bglA	618.9969274	562.9639384	703.046411	1.248830277	0.32057742	0.002929086	0.028168802
pepD	5916.977312	5171.937754	7034.536649	1.360135598	0.443750487	0.002966042	0.028460818
lspA	1194.541044	1076.976709	1370.887547	1.272903616	0.348123182	0.002991244	0.028639005
icdA	44802.85191	39328.78799	53013.94779	1.347968002	0.430786251	0.003005216	0.028709122
ycbL	1264.805137	1148.000557	1440.012006	1.25436525	0.326957498	0.00302495	0.028833846
yecS	179.5946881	157.4639837	212.7907448	1.351361371	0.434413521	0.003122052	0.029549867
sucA	28301.23898	25106.7861	33092.9183	1.318086599	0.398445159	0.003121788	0.029549867
hyi	138.1190234	119.1225848	166.6136812	1.39867416	0.484059906	0.003119353	0.029549867
yjeT	60.59379387	70.81486972	45.2621801	0.63916209	-0.645746254	0.003127441	0.029549867
t1582	295.0071441	342.103681	224.3623387	0.655831408	-0.608603101	0.00316309	0.029821442
ygjQ	33.6594623	41.26646535	22.24895773	0.539153464	-0.891232117	0.003212937	0.030225411
ftsZ	2418.187648	2178.864878	2777.171803	1.2745957	0.350039698	0.00328113	0.03062865
yfhI	3414.021996	3045.826896	3966.314647	1.30221276	0.38096518	0.003274537	0.03062865
fliM	101.2284471	115.9767085	79.10605498	0.682085705	-0.551975068	0.003269764	0.03062865
truB	635.6882143	571.0130796	732.7009163	1.283159603	0.359700628	0.003284174	0.03062865
yadR	7031.013345	7736.631992	5972.585376	0.771987783	-0.373350079	0.003319654	0.030852189
t3353	56.7189605	66.90258298	41.44352679	0.619460788	-0.690915132	0.003322434	0.030852189
ssaI	47503.59778	52895.44444	39415.82778	0.745164885	-0.424368404	0.00335402	0.030947553
ecnA	124.2893963	139.5153375	101.4504844	0.727163667	-0.459647978	0.003354204	0.030947553
artJ	167.8436135	188.6301765	136.6637691	0.724506394	-0.464929672	0.003353731	0.030947553
t1054	668.2894136	731.1494926	573.9992953	0.785064205	-0.349117448	0.003379866	0.031051622
luxS	3474.328544	3089.783821	4051.145629	1.311142094	0.390824045	0.003375376	0.031051622
t1851	1024.244652	918.3456998	1183.09308	1.288287276	0.365454337	0.00343155	0.031459517
ftsW	390.2187908	344.4806179	458.8260501	1.33193575	0.413524491	0.003471176	0.031755382
rluC	271.1375903	297.3819524	231.7710472	0.779371597	-0.359616739	0.003501519	0.031897806
t1987	79.70708559	91.43538335	62.11463894	0.67932825	-0.557819245	0.003500893	0.031897806
t1840	609.9791544	669.99826	519.9504962	0.776047532	-0.365783076	0.003534279	0.032128452
t1058	1342.743539	1213.628856	1536.415564	1.265968221	0.34024119	0.0035608	0.032233822
t4308	2.967637193	4.735682577	0.315569117	0.066636459	-3.907544452	0.003555436	0.032233822
mltA	543.2257577	603.730588	452.4685123	0.749454345	-0.4160875	0.003596781	0.03249142
motB	1368.279521	1204.538338	1613.891296	1.339842199	0.422063096	0.003623218	0.032661913
sitB	274.1953087	246.6911681	315.4515195	1.278730495	0.354712234	0.003643979	0.032712481
pfkA	940.7303114	848.3710839	1079.269153	1.272166359	0.347287341	0.003641756	0.032712481
t1933	276.4121665	305.9625333	232.0866163	0.758545871	-0.398691669	0.003658468	0.032774405
yebF	2556.507641	2288.379361	2958.700061	1.292923766	0.370637212	0.003679982	0.032898886
t1590	1219.599284	1064.523297	1452.213265	1.364191155	0.448045814	0.00377248	0.033656134
yjcS	824.0069245	748.8419685	936.7543584	1.250937311	0.323009493	0.003789974	0.033742489
t4441	138.5696953	154.8370117	114.1687208	0.737347741	-0.439582924	0.003832481	0.034050723
t2936	73.29465913	59.8182517	93.50927027	1.563223057	0.644523652	0.003940082	0.034934854
t1834	36527.74545	32411.67782	42701.84691	1.317483382	0.397784765	0.003978026	0.035141875
rpmJ	2841.827242	2564.49389	3257.82727	1.270358757	0.34523598	0.003979708	0.035141875
modE	891.2440771	974.6163042	766.1857366	0.786140898	-0.347140189	0.004005159	0.035222562
gpt	625.510892	560.3449293	723.2598359	1.290740396	0.368198863	0.004005007	0.035222562
ybdR	421.8631497	352.3563079	526.1234123	1.493157354	0.578366209	0.004020528	0.035285851
usg	382.831021	344.8077616	439.8659099	1.27568448	0.351271545	0.004049554	0.035325203
pphA	193.973273	216.3877115	160.3516152	0.741038454	-0.432379686	0.004045768	0.035325203
bfr	1212.227975	1322.715552	1046.496611	0.791172833	-0.337935206	0.004037156	0.035325203
glgB	1107.549736	1006.126851	1259.684065	1.252013167	0.324249735	0.004063341	0.035374003
t1579	842.6594135	930.7803881	710.4779517	0.763314269	-0.389650934	0.004097433	0.035456345
t1867	70.44002198	59.61356077	86.6797138	1.45402678	0.540053841	0.004096349	0.035456345
t2850	112.1720025	127.0457388	89.86139807	0.707315325	-0.499574575	0.004084761	0.035456345
ispZ	1243.162404	1124.831795	1420.658318	1.262996231	0.336850334	0.004131158	0.035676684
acs	6401.640945	5793.259282	7314.213439	1.262538596	0.336327492	0.004226709	0.036429005
kefC	79.60868379	67.98502074	97.04417837	1.42743471	0.513424759	0.004258627	0.036460824
rplY	934.2293443	813.430132	1115.428163	1.371264868	0.455507263	0.004241035	0.036460824
t1205	390.7287282	348.3702435	454.2664553	1.303976054	0.382917376	0.004253079	0.036460824
steB	80.71487941	92.06314267	63.69248452	0.691834785	-0.531500541	0.004264177	0.036460824
t1515	179.5206495	202.2129412	145.4822119	0.719450551	-0.475032564	0.004286877	0.036582478
t0010	76.74684165	87.48211832	60.64392666	0.693215114	-0.528624985	0.004321143	0.036718381
kbl	1708.984683	1553.6942	1941.920407	1.249872985	0.321781492	0.004328313	0.036718381
dcuB	99.24589888	112.4659693	79.41579329	0.706131764	-0.501990679	0.004325607	0.036718381
t0422	483.9987299	436.3064386	555.5371669	1.273272906	0.348541671	0.004365119	0.036932655
ybaN	184.514936	208.8420552	148.0242573	0.708785676	-0.496578646	0.004379231	0.036932655
speB	560.418113	489.9583065	666.1078229	1.3595194	0.443096738	0.004378352	0.036932655
t3020	2654.57684	2410.495029	3020.699557	1.253144902	0.325553244	0.004423312	0.037231695
t1464	115.529056	129.4388177	94.66441344	0.731344856	-0.451376245	0.004463905	0.037500277
gltS	520.660784	467.4472347	600.481108	1.284596557	0.361315334	0.004495619	0.037693361
t1546	179.9841517	200.1249969	149.772884	0.748396684	-0.418124929	0.004524197	0.037859462
lgt	383.1046632	346.6456297	437.7932134	1.262941678	0.336788018	0.00458077	0.038258733
yebG	2501.107926	2209.082579	2939.145947	1.330482606	0.41194965	0.004684297	0.038982398
t3736	1833.570519	1672.969008	2074.472785	1.23999475	0.310334012	0.004685471	0.038982398
aceE	7183.336575	6465.461517	8260.149161	1.277580748	0.353414478	0.00473405	0.039310827
fruK	104.0368307	90.06180224	124.9993733	1.387928847	0.472933609	0.004769667	0.039504673
malZ	129.6823097	111.9788128	156.237555	1.39524211	0.480515488	0.004780952	0.039504673
ftsE	901.4338772	820.2644742	1023.187982	1.247387902	0.318910172	0.00479399	0.039504673
yheL	231.7208736	256.2784925	194.8844453	0.760440111	-0.395093463	0.004786016	0.039504673
t2964	806.5800739	882.7631902	692.3053994	0.784248151	-0.350617873	0.004808345	0.039547491
t3973	87.14326432	73.30489121	107.900824	1.471945762	0.557724512	0.004873159	0.04000437
fumC	5940.032712	5369.462242	6795.888417	1.265655313	0.339884557	0.00490398	0.040029082
srfA	117.9669894	135.8452039	91.14966764	0.670981861	-0.57565433	0.004894302	0.040029082
t4635	435.4974296	490.5607487	352.9024509	0.719385829	-0.475162354	0.004903742	0.040029082
aceF	3123.088417	2838.188671	3550.438036	1.250952085	0.323026532	0.00493982	0.040169757
t1352	36.9619252	44.27112037	25.99813244	0.587248125	-0.767957892	0.004935521	0.040169757
t3541	435.2725067	386.5773415	508.3152544	1.314912179	0.394966447	0.00502331	0.040771907
yehU	227.9437627	254.0268355	188.8191534	0.743303963	-0.427975796	0.00505926	0.040986651
t1341	66.76038065	76.25767508	52.51443901	0.688644637	-0.538168397	0.005088792	0.041094231
t1422	510.4022718	563.4271034	430.8650243	0.764721863	-0.386992974	0.005091573	0.041094231
atpI	971.1065846	1056.019462	843.7372692	0.798978901	-0.323770688	0.005157726	0.041550489
uraA	36.44742442	27.78578201	49.43988804	1.779323253	0.831328632	0.005170793	0.041578186
proC	1080.271835	974.1103072	1239.514126	1.272457664	0.347617657	0.005232568	0.041940264
cybC	2022.064367	1846.473108	2285.451256	1.237738717	0.307706798	0.005235248	0.041940264
t4129	18.71155687	12.11104392	28.61232628	2.362498762	1.240313573	0.005275434	0.042105958
frdD	327.8886704	291.8094845	382.0074492	1.309098811	0.388573996	0.005267745	0.042105958
t4518	486.3755625	580.2041377	345.6326996	0.595708781	-0.74732087	0.00528583	0.042111094
t2815	29.06712059	20.63479405	41.71561041	2.02161506	1.015508317	0.005307348	0.042204655
t2619	3659.346066	3319.664158	4168.868929	1.255810447	0.328618719	0.005334101	0.042339426
frr	3584.868545	3902.182828	3108.897121	0.796707191	-0.327878498	0.005349694	0.042385282
trmH	334.4897252	365.4558809	288.0404917	0.78816762	-0.343425614	0.005387031	0.042602933
fcl	15.25969184	10.88198286	21.82625531	2.005724102	1.004123169	0.005427302	0.0426772
flgF	9.749867628	6.184445157	15.09800134	2.441286316	1.287641506	0.00544584	0.0426772
t2442	586.058551	533.7849188	664.4689994	1.244825352	0.315943347	0.005440473	0.0426772
t3995	6090.005592	5531.949597	6927.089584	1.2521968	0.32446132	0.00543202	0.0426772
yheO	965.9918647	1050.368818	839.4264348	0.799173034	-0.323420191	0.005425436	0.0426772
hflC	2444.449845	2217.546103	2784.805458	1.255804989	0.328612448	0.005481353	0.042877685
msrA	2535.147207	2311.4293	2870.724068	1.24196923	0.312629431	0.00560138	0.043737356
relE	697.5677125	777.993482	576.9290582	0.741560272	-0.431364139	0.005617687	0.043785509
t1424	2438.553242	2794.805226	1904.175265	0.681326644	-0.553581469	0.005635795	0.043847497
topB	482.4970944	438.9818942	547.7698948	1.247818878	0.319408541	0.005680691	0.044038105
yhjY	364.939829	400.3349598	311.8471328	0.778965527	-0.360368612	0.005677974	0.044038105
cadA	585.8100009	657.7353437	477.9219865	0.726617463	-0.460732057	0.005743923	0.044448494
dcuA	689.6658349	625.4255473	786.0262664	1.256786311	0.329739372	0.005767397	0.044550303
t1870	69.51849312	80.20217503	53.49297026	0.666976553	-0.584292049	0.005800703	0.044727564
atpA	2573.842129	2253.284861	3054.678032	1.355655508	0.438990615	0.005815943	0.044765134
t1911	137.61546	154.7655943	111.8902584	0.722965972	-0.468000349	0.005947369	0.045695263
t0260	514.0542764	561.7933873	442.44561	0.787559306	-0.344539528	0.005998888	0.046009231
purH	292.8247121	262.8651035	337.764125	1.2849333	0.361693472	0.006019556	0.046085891
mgtC	2120.752086	1890.533186	2466.080435	1.304436469	0.383426682	0.006114392	0.046729106
t3752	163.1580275	181.7589094	135.2567046	0.744154468	-0.426325974	0.006138062	0.04682712
deoA	302.2682618	273.1171596	345.9949151	1.266836971	0.341230876	0.006150513	0.046839357
rnhA	342.6398235	372.892056	297.2614747	0.797178352	-0.327025561	0.006162228	0.04684595
galS	268.4591175	296.2471368	226.7770884	0.76549968	-0.38552632	0.006198917	0.047042043
pgsA	1432.498339	1567.238811	1230.387632	0.785067103	-0.349112123	0.006272535	0.047517206
ratA	690.4810251	751.8514332	598.4254129	0.795935721	-0.329276169	0.006283701	0.047518425
t2945	52.67825284	60.33213054	41.19743628	0.682844049	-0.550371969	0.006469374	0.04883699
t1493	8967.479931	8078.495637	10300.95637	1.275108242	0.350619721	0.006514833	0.049045857
rpmD	1328.673031	1199.901781	1521.829906	1.268295397	0.342890801	0.00651976	0.049045857
t2950	148.612273	169.1253976	117.8425861	0.696776403	-0.521232329	0.006545307	0.049152411
