				Contrast 24h vs zero			
yafK	987.7955653	1247.454955	728.1361754	0.583697369	-0.776707529	1.32E-07	1.97E-06
t1512	1474.157141	1909.445144	1038.869138	0.544068596	-0.878139538	1.35E-07	2.01E-06
panD	1374.680029	1740.496639	1008.863419	0.579641119	-0.786768154	1.38E-07	2.04E-06
minC	1990.200201	2524.88164	1455.518762	0.576470096	-0.794682323	1.38E-07	2.04E-06
melA	276.3824418	189.5211367	363.2437469	1.916639765	0.938579206	1.40E-07	2.06E-06
exoX	1093.015367	1385.346066	800.684668	0.577967259	-0.790940327	1.41E-07	2.07E-06
yfeH	496.0192668	370.1244414	621.9140922	1.680283771	0.7487049	1.59E-07	2.33E-06
menC	449.2689138	334.2849274	564.2529003	1.68794	0.755263622	1.62E-07	2.36E-06
priB	382.4070929	488.7946255	276.0195603	0.564694344	-0.824457914	1.72E-07	2.49E-06
fliD	1850.709168	1357.850121	2343.568216	1.725940278	0.787382544	1.77E-07	2.56E-06
t1687	205.1257874	279.7063392	130.5452355	0.466722477	-1.099363146	1.78E-07	2.57E-06
rmf	4422.948284	5768.507317	3077.38925	0.533481034	-0.906491112	1.79E-07	2.57E-06
ybaZ	295.9370326	383.6339091	208.240156	0.542809567	-0.881481947	1.94E-07	2.78E-06
t1535	531.188394	665.309971	397.066817	0.59681477	-0.744644856	1.97E-07	2.82E-06
ybbA	1213.37767	1533.869887	892.8854526	0.582112903	-0.780629098	2.02E-07	2.88E-06
aceA	18304.23717	12954.16763	23654.30671	1.825999738	0.868686559	2.11E-07	2.99E-06
yacE	490.2448182	616.6666579	363.8229786	0.589983217	-0.76125418	2.12E-07	3.01E-06
t3727	176.6414927	122.4618168	230.8211685	1.884841941	0.914443547	2.16E-07	3.03E-06
murI	947.8137561	1236.109351	659.5181611	0.533543542	-0.906322083	2.16E-07	3.03E-06
t3725	202.8512991	146.9684734	258.7341247	1.760473649	0.815963633	2.16E-07	3.03E-06
t4332	935.2845717	536.0387769	1334.530367	2.489615349	1.31592286	2.41E-07	3.37E-06
selB	445.8802063	334.3025311	557.4578816	1.66752516	0.737708529	2.50E-07	3.48E-06
rpsL	1036.876686	1298.060306	775.6930659	0.597578604	-0.742799601	2.61E-07	3.62E-06
cysK	2517.950871	1920.324252	3115.57749	1.622422612	0.698149665	2.96E-07	4.10E-06
fdx	1140.440773	1459.212179	821.6693676	0.563091084	-0.828559788	2.98E-07	4.10E-06
flgL	1812.708077	1348.427817	2276.988338	1.688624566	0.755848608	2.98E-07	4.10E-06
trxA	5827.829226	7480.682046	4174.976406	0.558101037	-0.841401768	3.09E-07	4.24E-06
stgD	470.7859868	347.2021248	594.3698488	1.71188425	0.775585156	3.18E-07	4.35E-06
emrD	831.3994114	628.0729304	1034.725892	1.647461373	0.72024464	3.25E-07	4.42E-06
t1827	268.7582158	350.5413093	186.9751223	0.533389696	-0.90673814	3.25E-07	4.42E-06
t3605	86.95628451	54.0745184	119.8380506	2.216164918	1.148065245	3.46E-07	4.68E-06
fumA	14222.57559	10500.87325	17944.27792	1.708836732	0.773014564	3.70E-07	4.99E-06
ptsN	1274.712589	1599.220485	950.2046922	0.594167409	-0.751058622	3.79E-07	5.10E-06
ybfM	771.8213018	967.3114922	576.3311115	0.595807158	-0.747082638	4.15E-07	5.56E-06
t1880	498.8354131	657.0877824	340.5830438	0.518321985	-0.948079507	4.36E-07	5.83E-06
sanA	698.2280878	880.7268521	515.7293234	0.585572385	-0.772080576	4.92E-07	6.56E-06
yaaF	880.4231332	679.6483008	1081.197966	1.590819788	0.669770413	5.04E-07	6.70E-06
t2026	1732.444815	1343.533404	2121.356226	1.578938208	0.658954712	5.08E-07	6.72E-06
yjeH	355.1701734	464.0894515	246.2508953	0.530610844	-0.914273936	5.31E-07	7.01E-06
t4215	138.0166903	184.783576	91.2498047	0.493819888	-1.017943156	5.38E-07	7.08E-06
tviA	46064.87182	63809.34849	28320.39515	0.443828308	-1.171926409	5.53E-07	7.25E-06
ybeB	442.0626468	556.9125188	327.2127747	0.587547889	-0.767221649	5.86E-07	7.66E-06
ribB	4500.840559	3458.066631	5543.614487	1.603096493	0.680861266	5.87E-07	7.66E-06
t1523	232.2955137	171.7370697	292.8539576	1.705246038	0.769979911	6.05E-07	7.87E-06
t1472	247.5406197	334.6031529	160.4780865	0.479607215	-1.060074731	6.12E-07	7.93E-06
t1612	255.3516643	186.1538338	324.5494947	1.743447815	0.801943182	6.54E-07	8.45E-06
xseB	847.4529388	1060.769809	634.1360688	0.597807426	-0.742247277	6.59E-07	8.49E-06
t3141	254.042778	327.5822683	180.5032877	0.551016661	-0.859832153	6.62E-07	8.51E-06
yjbB	854.7293034	662.9515439	1046.507063	1.578557396	0.658606718	6.73E-07	8.62E-06
proW	183.6036964	129.0159743	238.1914184	1.846216483	0.88457173	6.80E-07	8.69E-06
t3974	208.3354658	150.526412	266.1445197	1.768091834	0.822193209	6.82E-07	8.69E-06
slyX	321.8675446	405.735126	237.9999632	0.586589496	-0.769576857	7.11E-07	9.03E-06
nlpD	128199.6822	176613.3473	79786.01699	0.451755307	-1.146386545	7.14E-07	9.04E-06
hfQ	3034.315032	3854.014757	2214.615307	0.574625539	-0.799305981	7.34E-07	9.27E-06
t1502	389.2018787	509.5377052	268.8660522	0.527666646	-0.9223013	7.89E-07	9.94E-06
srlR	895.8173128	1111.920273	679.7143531	0.611297743	-0.710052854	8.08E-07	1.01E-05
yabK	292.9654238	215.6932955	370.2375522	1.716500048	0.779469898	8.68E-07	1.09E-05
t1668	409.5062619	511.3295618	307.682962	0.601731222	-0.732808879	8.70E-07	1.09E-05
t4330	546.968073	325.1278169	768.8083291	2.36463412	1.241616972	8.76E-07	1.09E-05
yfjA	2850.327291	3555.725692	2144.92889	0.603232385	-0.729214212	9.00E-07	1.12E-05
phoP	9244.012298	11887.20641	6600.81819	0.555287589	-0.848692943	9.05E-07	1.12E-05
argC	312.8973833	233.1023599	392.6924066	1.684635053	0.752436091	9.26E-07	1.14E-05
folE	1280.975828	1588.115421	973.8362343	0.613202429	-0.705564682	9.76E-07	1.20E-05
t1798	646.0219686	807.9427189	484.1012182	0.599177648	-0.738944289	1.03E-06	1.26E-05
t4146	704.6471542	526.1231028	883.1712057	1.678639849	0.747292734	1.08E-06	1.32E-05
sefC	145.1386827	100.9295292	189.3478361	1.876040022	0.907690605	1.13E-06	1.38E-05
yajI	173.8073787	230.2210577	117.3936997	0.509917298	-0.971664814	1.14E-06	1.39E-05
gldA	487.890933	377.4094807	598.3723853	1.585472586	0.664912932	1.15E-06	1.39E-05
fliQ	149.5456474	196.4302196	102.6610751	0.522633815	-0.936127623	1.17E-06	1.42E-05
grxA	1031.857097	1319.09554	744.6186543	0.564491829	-0.824975396	1.21E-06	1.46E-05
zur	1121.620438	1392.762672	850.4782037	0.610641153	-0.711603274	1.26E-06	1.52E-05
t3515	564.5938331	421.0792273	708.1084389	1.681651321	0.749878604	1.29E-06	1.55E-05
ggt	295.8717343	216.5796957	375.1637729	1.732220427	0.792622526	1.30E-06	1.55E-05
dcuR	291.5645452	368.3240508	214.8050396	0.5831958	-0.777947764	1.31E-06	1.56E-05
yabJ	300.8722269	222.3239188	379.420535	1.706611403	0.771134593	1.31E-06	1.56E-05
ygbA	152.5485237	107.3513439	197.7457036	1.842042181	0.881306098	1.37E-06	1.62E-05
dps	2827.998427	3542.337214	2113.659639	0.596685045	-0.744958477	1.49E-06	1.77E-05
modA	784.7079343	601.394199	968.0216696	1.60962921	0.686728391	1.51E-06	1.78E-05
t3061	746.0194692	574.6462884	917.39265	1.596447534	0.674865141	1.57E-06	1.85E-05
t3020	3147.042496	2410.495029	3883.589963	1.611117184	0.688061432	1.63E-06	1.91E-05
gntR	902.7611041	1138.306282	667.215926	0.586147978	-0.770663163	1.72E-06	2.00E-05
yejG	4550.274403	5968.723525	3131.82528	0.524706039	-0.9304187	1.72E-06	2.00E-05
hexR	1572.035651	1984.794157	1159.277145	0.584079281	-0.775763886	1.84E-06	2.14E-05
t3101	1404.723284	1793.491536	1015.955031	0.566467703	-0.819934391	1.86E-06	2.16E-05
yiiM	922.4206731	724.8796788	1119.961667	1.545031128	0.627635904	1.94E-06	2.25E-05
t3024	350.9190409	441.9580129	259.880069	0.588019815	-0.766063323	2.00E-06	2.31E-05
yejD	384.9642689	488.3507909	281.5777469	0.576589108	-0.794384511	2.00E-06	2.31E-05
t4518	445.1870699	580.2041377	310.1700021	0.534587711	-0.90350142	2.02E-06	2.32E-05
fkpA	9150.286278	6728.904178	11571.66838	1.719695819	0.782153402	2.07E-06	2.38E-05
wzxC	163.8091946	209.2313858	118.3870033	0.565818569	-0.821588571	2.11E-06	2.41E-05
t2294	1003.428707	1296.007182	710.850231	0.548492509	-0.866456178	2.16E-06	2.46E-05
t4638	2821.40614	3509.62473	2133.187551	0.607810725	-0.718305963	2.18E-06	2.47E-05
t1058	1560.770423	1213.628856	1907.911989	1.572072038	0.652667328	2.18E-06	2.47E-05
t3726	256.7874766	183.8897103	329.685243	1.792842255	0.842248557	2.22E-06	2.50E-05
t3736	2114.144682	1672.969008	2555.320356	1.527416434	0.611093452	2.36E-06	2.67E-05
t4334	545.6559173	365.0359122	726.2759223	1.989601291	0.992479349	2.42E-06	2.72E-05
t3198	1392.811823	1042.822585	1742.801061	1.671234481	0.740914164	2.48E-06	2.78E-05
safB	227.4733121	147.1973824	307.7492417	2.090724962	1.064003286	2.54E-06	2.84E-05
yfiD	569.551675	444.0874897	695.0158602	1.565042647	0.64620197	2.55E-06	2.85E-05
seqA	1094.264618	1437.099348	751.4298884	0.522879569	-0.935449394	2.68E-06	2.98E-05
cedA	275.4803778	362.3896421	188.5711135	0.52035459	-0.942433029	2.84E-06	3.15E-05
cmk	587.0306783	726.3875927	447.6737639	0.616301501	-0.69829179	2.86E-06	3.16E-05
t2967	3478.727428	2739.829299	4217.625557	1.539375303	0.622345007	2.87E-06	3.17E-05
kdgT	71.50988486	43.67603961	99.3437301	2.274559025	1.185586873	2.88E-06	3.18E-05
usg	447.1246822	344.8077616	549.4416027	1.593472259	0.672173903	2.90E-06	3.18E-05
purD	310.8471181	227.5201472	394.174089	1.732479931	0.79283864	2.91E-06	3.19E-05
t4324	2968.564606	2323.966722	3613.16249	1.554739341	0.636672726	3.01E-06	3.29E-05
t1621	1024.4313	1261.885109	786.977491	0.623652253	-0.681186285	3.12E-06	3.39E-05
creC	354.9668532	268.6596487	441.2740576	1.642502176	0.715895282	3.11E-06	3.39E-05
t1102	84.92169451	113.5877244	56.25566459	0.495261833	-1.01373665	3.43E-06	3.72E-05
ygaF	287.6434633	219.0472258	356.2397007	1.626314597	0.701606362	3.47E-06	3.76E-05
t1235	388.7058192	487.8925979	289.5190404	0.593407323	-0.752905364	3.50E-06	3.78E-05
rpmJ	287.9325404	368.0165498	207.8485311	0.564780392	-0.824238093	3.64E-06	3.92E-05
t3145	5245.439045	4057.624097	6433.253992	1.585473133	0.664913431	3.67E-06	3.94E-05
yabI	445.3869893	341.753475	549.0205037	1.606481115	0.683904022	3.69E-06	3.95E-05
yiiL	345.8803913	263.5177468	428.2430359	1.625101311	0.700529661	3.72E-06	3.98E-05
fliA	588.9786009	432.7419745	745.2152272	1.722077522	0.784150089	3.81E-06	4.06E-05
relE	614.4189798	777.993482	450.8444777	0.579496472	-0.787128218	3.85E-06	4.10E-05
t2206	2744.281314	3409.213276	2079.349351	0.609920584	-0.71330669	3.95E-06	4.19E-05
secG	7738.644248	10021.81935	5455.469151	0.544359159	-0.877369263	3.96E-06	4.19E-05
recA	19519.31059	13871.60981	25167.01136	1.814281954	0.85939868	4.02E-06	4.24E-05
metH	777.2305113	611.8464746	942.614548	1.540606324	0.623498252	4.26E-06	4.49E-05
t2423	74.1426174	49.25714404	99.02809075	2.010431028	1.007504843	4.31E-06	4.53E-05
holC	232.9413918	290.5006987	175.382085	0.603723453	-0.728040247	4.47E-06	4.68E-05
t2564	540.5830179	421.5762816	659.5897543	1.564579847	0.645775287	4.54E-06	4.74E-05
yecS	209.8263415	157.4639837	262.1886993	1.665070915	0.735583622	4.67E-06	4.87E-05
t3882	228.2360864	171.8945858	284.5775869	1.655535487	0.727297936	4.69E-06	4.88E-05
spaQ	62.56672478	40.75179207	84.38165749	2.070624461	1.050065923	4.83E-06	5.01E-05
cstA	694.4322565	553.4511541	835.4133589	1.50946177	0.594034219	4.91E-06	5.09E-05
ppiA	1901.530329	2397.420578	1405.640079	0.586313512	-0.77025579	5.05E-06	5.21E-05
t4360	238.1561332	179.3327754	296.979491	1.656024618	0.72772412	5.13E-06	5.28E-05
t4119	474.4907848	584.7795027	364.2020669	0.622802381	-0.683153634	5.23E-06	5.38E-05
pssA	1483.768051	1919.088033	1048.448068	0.546326198	-0.872165489	5.26E-06	5.40E-05
t3869	1435.911104	1771.908011	1099.914198	0.620751298	-0.687912722	5.32E-06	5.44E-05
mutY	255.4641964	325.2570432	185.6713496	0.570844978	-0.808829083	5.39E-06	5.50E-05
kefB	1287.30624	1008.491393	1566.121087	1.552934509	0.63499699	5.41E-06	5.51E-05
prfB	3110.361315	3848.045293	2372.677338	0.616592882	-0.697609859	5.47E-06	5.56E-05
t2381	1077.187743	1329.281348	825.0941375	0.620706925	-0.688015854	5.52E-06	5.60E-05
t2442	679.4700654	533.7849188	825.1552119	1.54585711	0.628406971	5.56E-06	5.62E-05
sapD	286.1624576	371.4432767	200.8816384	0.540813769	-0.886796212	5.58E-06	5.63E-05
tktB	501.2919149	617.2419047	385.341925	0.624296442	-0.679696851	5.64E-06	5.67E-05
fabB	3890.402985	3055.363418	4725.442553	1.546605725	0.629105458	5.64E-06	5.67E-05
tnpA	74.37918669	102.1072732	46.65110013	0.456883223	-1.130102627	5.73E-06	5.74E-05
wcaF	125.8492016	90.33027667	161.3681265	1.786423472	0.837074112	5.74E-06	5.74E-05
t1398	1508.552956	1878.709812	1138.3961	0.605945683	-0.722739619	5.80E-06	5.78E-05
t0864	108.5647764	145.1086191	72.02093368	0.496324299	-1.010645006	6.23E-06	6.20E-05
ybdR	495.0781765	352.3563079	637.800045	1.810099694	0.856069158	6.47E-06	6.42E-05
t4167	4307.391785	3223.438956	5391.344615	1.67254435	0.742044467	6.53E-06	6.47E-05
t1305	355.3786035	443.5465594	267.2106476	0.602441033	-0.731108057	6.54E-06	6.47E-05
t2974	765.8880821	607.3369396	924.4392245	1.522119213	0.606081356	6.70E-06	6.59E-05
t2520	219.5122151	277.7962119	161.2282182	0.58038307	-0.784922659	6.70E-06	6.59E-05
exo	250.4854807	314.7961785	186.1747829	0.591413732	-0.757760352	6.77E-06	6.65E-05
sseA	1164.978899	911.6876239	1418.270174	1.555653644	0.637520889	6.84E-06	6.69E-05
rplN	3943.1861	4869.297437	3017.074762	0.619611926	-0.690563183	6.83E-06	6.69E-05
selA	384.8361704	298.6443334	471.0280074	1.577220642	0.657384497	7.06E-06	6.88E-05
t1730	2490.193581	3223.082024	1757.305139	0.545225075	-0.875076181	7.36E-06	7.16E-05
citD	23.14140545	11.0479993	35.23481159	3.189248173	1.673216366	7.38E-06	7.16E-05
t4265	108.5287579	148.3331762	68.72433965	0.463310646	-1.109948262	7.50E-06	7.26E-05
yleB	536.5864995	395.793902	677.3790969	1.711443995	0.775214083	7.60E-06	7.34E-05
t3963	471.366853	582.9835529	359.7501532	0.617084567	-0.696459881	7.84E-06	7.56E-05
t2635	421.2693723	532.6299952	309.9087493	0.58184622	-0.781290191	7.86E-06	7.56E-05
t2571	183.5682779	136.9891856	230.1473702	1.68004043	0.748495951	7.92E-06	7.60E-05
ygaA	276.588847	213.2517331	339.9259609	1.594012654	0.672663082	7.95E-06	7.61E-05
yidE	466.7387309	367.957951	565.5195108	1.536913414	0.62003589	8.01E-06	7.65E-05
t1424	2173.02669	2794.805226	1551.248154	0.555046963	-0.84931825	8.34E-06	7.94E-05
sfsA	546.1002268	670.2494858	421.9509679	0.629543143	-0.667622845	8.34E-06	7.94E-05
phnO	443.5170748	558.3830426	328.6511071	0.588576447	-0.764698284	8.57E-06	8.12E-05
polB	557.0703957	431.5323709	682.6084204	1.581824369	0.661589426	8.56E-06	8.12E-05
sucD	3653.784463	2836.557558	4471.011368	1.576210345	0.656460075	8.61E-06	8.13E-05
t3977	261.6553619	199.7316206	323.5791032	1.620069483	0.69605569	8.68E-06	8.18E-05
t1905	304.563746	225.7149745	383.4125176	1.698657869	0.764395305	9.09E-06	8.55E-05
yhfA	1256.05354	1606.627732	905.479347	0.563590015	-0.827282044	9.27E-06	8.68E-05
yajC	1072.583263	1327.658006	817.5085202	0.615752337	-0.699577896	9.25E-06	8.68E-05
t1349	3291.744563	2583.746413	3999.742713	1.548039967	0.63044272	9.48E-06	8.86E-05
glpD	533.0287255	419.826438	646.2310129	1.539281366	0.622256966	9.52E-06	8.87E-05
asd	1613.757439	1275.761408	1951.75347	1.529873422	0.613412292	9.53E-06	8.87E-05
iadA	482.4968312	348.3521912	616.6414712	1.770166765	0.823885281	9.59E-06	8.89E-05
phrB	150.2993926	111.4213228	189.1774624	1.697856906	0.763714875	9.57E-06	8.89E-05
ftsX	1804.106806	1406.828933	2201.38468	1.564784906	0.645964359	9.69E-06	8.96E-05
t0034	230.7430155	172.6048314	288.8811996	1.67365651	0.743003469	9.84E-06	9.08E-05
cytR	506.3263917	619.9652254	392.687558	0.633402555	-0.658805407	1.02E-05	9.43E-05
dadA	15863.6392	11395.5603	20331.71809	1.784178886	0.835260271	1.04E-05	9.52E-05
t1852	902.0433125	1202.423477	601.6631482	0.500375417	-0.998917183	1.05E-05	9.63E-05
gidB	359.7055132	439.4210737	279.9899526	0.637179165	-0.650229003	1.07E-05	9.76E-05
t2658	601.8637577	739.9986122	463.7289032	0.626661855	-0.674240916	1.08E-05	9.83E-05
lrp	1682.163217	2091.724014	1272.60242	0.608398819	-0.716910742	1.09E-05	9.93E-05
xseA	1245.792181	1524.066072	967.5182889	0.634826998	-0.655564611	1.10E-05	0.00010011
speG	1368.47203	1707.043259	1029.9008	0.603324371	-0.728994234	1.12E-05	0.000101531
t2964	720.7077769	882.7631902	558.6523637	0.632845105	-0.660075666	1.13E-05	0.000102069
ygcA	1665.814141	2036.04151	1295.586772	0.636326306	-0.652161331	1.16E-05	0.0001044
lctD	118.5630346	81.541729	155.5843403	1.908033374	0.932086406	1.19E-05	0.000106894
atpI	868.0013953	1056.019462	679.9833291	0.64391174	-0.635065141	1.24E-05	0.000111981
nlpC	1024.969685	1249.761831	800.1775384	0.640264023	-0.643261148	1.25E-05	0.000112485
speB	648.5352382	489.9583065	807.11217	1.647307861	0.720110202	1.27E-05	0.000113448
solA	451.3889375	357.3325945	545.4452804	1.526435844	0.610166954	1.28E-05	0.00011475
t3589	644.6907244	503.0198954	786.3615534	1.563281215	0.644577325	1.31E-05	0.000116641
rnt	484.7085922	595.7119684	373.7052159	0.627325345	-0.672714244	1.32E-05	0.00011742
t1132	1887.134757	1481.779016	2292.490497	1.547120368	0.629585445	1.33E-05	0.00011828
t3815	582.4117636	462.12026	702.7032672	1.520606924	0.604647266	1.34E-05	0.000118977
t1461	149.6217108	189.7262533	109.5171683	0.577237817	-0.792762276	1.36E-05	0.000120479
birA	1214.890182	971.6768685	1458.103495	1.500605338	0.585544595	1.36E-05	0.000120479
plsX	649.9966579	787.7625956	512.2307203	0.650234884	-0.620967138	1.41E-05	0.000124548
t0520	84.11827574	57.25661233	110.9799391	1.93829035	0.954784698	1.43E-05	0.00012532
rpsF	531.6772998	648.7046017	414.649998	0.639196943	-0.645667587	1.44E-05	0.000125987
pagD	130.4701254	167.2365416	93.70370931	0.560306428	-0.83571205	1.44E-05	0.000126009
marR	915.2244472	1116.669417	713.7794779	0.639203928	-0.64565182	1.52E-05	0.00013293
pdhR	2030.133582	2556.309398	1503.957765	0.588331665	-0.765298407	1.55E-05	0.000135475
t1794	977.9507662	1214.813277	741.0882551	0.610042933	-0.713017315	1.56E-05	0.000135579
t1148	2984.370676	2398.19122	3570.550133	1.488851307	0.574199678	1.56E-05	0.000135579
t4580	1392.965388	1099.232739	1686.698037	1.534432134	0.617704839	1.57E-05	0.000135718
purN	635.6571212	776.0231745	495.2910679	0.638242625	-0.647823133	1.57E-05	0.000135718
t3352	177.1812844	222.5683037	131.794265	0.592151995	-0.755960558	1.64E-05	0.000141967
exuT	8026.054807	4953.935108	11098.17451	2.240274502	1.163675517	1.69E-05	0.00014555
glpE	365.3934998	450.8025739	279.9844257	0.621079918	-0.687149174	1.72E-05	0.000148079
t1910	5791.039461	7172.146181	4409.93274	0.614869333	-0.701648241	1.78E-05	0.00015297
hupA	339.4153794	262.8651035	415.9656552	1.582430112	0.662141784	1.79E-05	0.00015298
sitA	1012.61845	818.469109	1206.76779	1.474420692	0.560148223	1.79E-05	0.00015298
stgB	65.23756033	43.02935252	87.44576814	2.032235277	1.023067436	1.82E-05	0.000155116
t2545	95.77964974	65.81410027	125.7451992	1.91061184	0.93403471	1.86E-05	0.000158046
crp	11027.93898	13884.52682	8171.351136	0.588522118	-0.764831458	1.86E-05	0.000158046
guaA	1593.060343	1248.611284	1937.509403	1.551731454	0.633878903	1.87E-05	0.000158216
t3355	205.8664227	257.6721984	154.0606471	0.597893944	-0.742038496	1.87E-05	0.000158216
t1875	4232.910522	5220.680802	3245.140242	0.621593306	-0.685957127	1.91E-05	0.000161216
hyi	164.1412035	119.1225848	209.1598223	1.755836835	0.812158786	1.93E-05	0.000162877
fliC	4635.406327	3585.541161	5685.271493	1.585610439	0.665038366	1.94E-05	0.000163561
rph	571.6733244	445.5699503	697.7766985	1.566031771	0.647113482	1.96E-05	0.000164452
t1582	275.3445557	342.103681	208.5854304	0.609714078	-0.713795238	1.96E-05	0.000164452
t4174	168.1232433	125.8208843	210.4256022	1.672421899	0.74193884	1.98E-05	0.000165526
t3687	192.7158904	145.5529833	239.8787975	1.648051397	0.720761236	2.07E-05	0.000172983
yojN	1657.783853	2011.589959	1303.977747	0.64823238	-0.625417008	2.08E-05	0.000173164
nuoF	1598.687294	1253.390359	1943.984229	1.550980678	0.633180714	2.09E-05	0.00017403
ybhE	1080.888293	867.631807	1294.144779	1.491582914	0.576844176	2.13E-05	0.000177057
relB	507.9502913	683.021857	332.8787255	0.487361747	-1.036935076	2.19E-05	0.000181414
t3186	964.3795242	1169.352061	759.4069872	0.649425449	-0.622764175	2.22E-05	0.000183519
cstA	684.1985063	506.7923905	861.604622	1.700113574	0.765631127	2.26E-05	0.000186332
t3240	1494.336846	1811.349588	1177.324105	0.64997067	-0.621553477	2.28E-05	0.000187484
miaA	4911.087378	6065.262878	3756.911879	0.619414518	-0.691022898	2.33E-05	0.000191365
t3233	466.1475134	561.8771991	370.4178277	0.659250506	-0.601101322	2.33E-05	0.000191365
t3227	764.7373541	612.4067338	917.0679745	1.497481859	0.582538526	2.41E-05	0.000197669
t0474	923.5530728	1132.758455	714.3476907	0.630626669	-0.665141914	2.42E-05	0.000197776
phoQ	4153.876195	5189.743258	3118.009132	0.600802193	-0.735038016	2.44E-05	0.000199508
narX	1573.660926	1286.760987	1860.560865	1.445925766	0.531993486	2.47E-05	0.000201601
t1225	1158.748304	910.3356462	1407.160962	1.545760586	0.628316886	2.56E-05	0.000208068
rpmF	1343.568612	1693.601242	993.535982	0.586641033	-0.76945011	2.66E-05	0.000216254
yehS	733.1195717	959.0085854	507.2305581	0.528911384	-0.918902068	2.68E-05	0.000217501
dnaT	614.5960448	747.4294496	481.76264	0.64455935	-0.63361489	2.72E-05	0.000219771
artP	627.7864766	795.0792129	460.4937404	0.5791797	-0.787917056	2.72E-05	0.000219771
t2119	205.2814528	258.3529754	152.2099301	0.589154934	-0.763281016	2.73E-05	0.000219904
t3236	570.8205157	692.3108541	449.3301773	0.649029514	-0.623644009	2.76E-05	0.000222246
dcuA	787.6878329	625.4255473	949.9501185	1.518886017	0.603013609	2.81E-05	0.000225477
t0337	1265.249723	1012.897587	1517.601859	1.498277692	0.583305039	2.88E-05	0.00023099
t4044	695.3066141	563.3917184	827.2215097	1.468288373	0.554135343	2.93E-05	0.000234305
hybA	181.1588374	136.0854711	226.2322037	1.662427311	0.73329126	3.08E-05	0.000245377
t0364	264.8558608	208.0649999	321.6467217	1.545895378	0.628442685	3.08E-05	0.000245377
t1314	355.0317685	281.3214076	428.7421295	1.524029519	0.607890847	3.14E-05	0.000249478
fruK	123.2568809	90.06180224	156.4519595	1.737162211	0.796732475	3.15E-05	0.000250222
sapF	297.058337	366.080943	228.0357309	0.622910685	-0.682902776	3.26E-05	0.000258567
t3686	244.4536193	189.2601278	299.6471107	1.583255354	0.662893958	3.40E-05	0.000268543
spaO	172.6236721	109.7501538	235.4971903	2.145757269	1.101486886	3.40E-05	0.000268543
t0535	101.9810786	136.0292816	67.93287553	0.499398914	-1.001735411	3.41E-05	0.000268977
t0568	394.6341836	475.7723143	313.4960528	0.658920335	-0.601824044	3.46E-05	0.00027159
t2352	331.0391701	268.2265785	393.8517618	1.468354717	0.554200529	3.46E-05	0.00027159
t0411	339.4486662	246.9051553	431.9921771	1.749628017	0.807048227	3.48E-05	0.000272869
hemL	894.1861821	729.8705503	1058.501814	1.450259657	0.536311226	3.54E-05	0.000276978
sipC	448.463181	353.8896447	543.0367174	1.534480383	0.617750202	3.57E-05	0.000279104
t4333	473.4670171	313.98659	632.9474441	2.015842282	1.011382768	3.63E-05	0.000283201
gmk	2093.915359	2532.419825	1655.410893	0.653687385	-0.613327239	3.64E-05	0.000283246
atpF	1852.166726	2497.718125	1206.615328	0.483087069	-1.049644859	3.76E-05	0.000292159
infB	2252.684475	1789.036875	2716.332075	1.518320898	0.602476738	3.82E-05	0.000296441
dctA	620.109196	497.8187288	742.3996632	1.491305209	0.576575548	3.83E-05	0.000296683
t1031	842.9924254	1011.002897	674.9819533	0.667636023	-0.582866297	3.89E-05	0.00030062
rluC	237.7618661	297.3819524	178.1417798	0.599033594	-0.739291182	3.91E-05	0.000301782
glpX	137.2002705	99.11269213	175.2878488	1.768571159	0.822584268	4.07E-05	0.000312402
yneB	403.0684614	283.7171835	522.4197392	1.84133979	0.880755878	4.06E-05	0.000312402
t1451	87.20944761	114.8058926	59.61300259	0.519250373	-0.945497747	4.10E-05	0.000314776
acrR	1480.478368	1781.931071	1179.025664	0.661656157	-0.595846409	4.16E-05	0.000318774
tgt	615.8787035	740.9548973	490.8025096	0.662391883	-0.594243101	4.21E-05	0.000321761
t1877	813.0446099	982.8911735	643.1980463	0.654393959	-0.611768665	4.25E-05	0.000324178
nanA	240.7852604	151.4748934	330.0956273	2.179210164	1.123805337	4.32E-05	0.000329141
t3229	125.4136847	94.45943151	156.367938	1.655397831	0.727177972	4.49E-05	0.000341183
corA	373.3168131	450.0496172	296.5840089	0.659002913	-0.601643251	4.70E-05	0.000356583
t2932	881.5178956	1050.368818	712.6669732	0.678492127	-0.55959602	4.72E-05	0.000356842
clpB	12032.02084	9392.745174	14671.2965	1.561981745	0.643377593	4.72E-05	0.000356842
tctD	1895.082966	2336.5849	1453.581032	0.62209639	-0.68478996	4.77E-05	0.000360353
glnB	1064.12151	1283.936396	844.3066236	0.65759225	-0.604734798	4.82E-05	0.000363057
yidF	194.7513243	147.2692008	242.2334478	1.644834402	0.717942344	4.83E-05	0.000363057
t0676	62.49380361	42.41248606	82.57512116	1.946953099	0.961218131	4.88E-05	0.000366683
t3225	100.3445033	132.5882575	68.100749	0.513625794	-0.96121044	4.96E-05	0.000372157
treC	1276.119199	1023.04128	1529.197118	1.494756027	0.579910028	5.02E-05	0.000376034
ypeB	492.2828512	395.4571252	589.1085771	1.489690132	0.575012269	5.21E-05	0.000389239
gidA	5014.897737	6136.57319	3893.222285	0.634429374	-0.656468527	5.24E-05	0.000390754
