"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
t1155	1223.438431	1550.597963	896.2788992	0.57802146	-0.790805038	8.44E-08	6.77E-07
safA	119.0198553	83.06438874	154.9753218	1.865725182	0.899736496	8.53E-08	6.83E-07
osmC	318.1472247	407.0161455	229.2783039	0.56331501	-0.827986182	8.59E-08	6.86E-07
rimJ	829.2128564	1038.573743	619.8519695	0.596830002	-0.744608034	8.58E-08	6.86E-07
t3943	78.99524353	49.84547418	108.1450129	2.169605459	1.117432713	8.73E-08	6.95E-07
t3257	878.3611035	1115.836444	640.8857627	0.574354571	-0.799986451	8.85E-08	7.04E-07
t0375	189.3983699	249.0574603	129.7392796	0.520921073	-0.940863293	8.91E-08	7.07E-07
t1157	2436.543847	3220.507224	1652.58047	0.513142917	-0.962567405	8.94E-08	7.08E-07
t0336	2366.550344	1803.300609	2929.800079	1.624687568	0.70016231	9.14E-08	7.23E-07
t1031	816.7176591	1011.002897	622.4324208	0.615658395	-0.699798019	9.57E-08	7.55E-07
t3933	252.3620359	182.9345257	321.7895461	1.759042176	0.814790074	9.91E-08	7.81E-07
t2584	48.20327781	28.03010266	68.37645296	2.439393597	1.286522556	1.02E-07	8.01E-07
stcD	243.3756109	136.4487619	350.30246	2.56728207	1.360241815	1.07E-07	8.40E-07
t3415	14594.38455	10507.13849	18681.63062	1.777994136	0.830250566	1.09E-07	8.58E-07
t0732	67.09314167	40.4879895	93.69829384	2.314224415	1.210528773	1.10E-07	8.63E-07
t1612	263.3308155	186.1538338	340.5077972	1.829174239	0.871192506	1.12E-07	8.73E-07
t3686	259.5453055	189.2601278	329.8304832	1.742736238	0.801354235	1.14E-07	8.85E-07
garR	127.2878381	89.2000855	165.3755906	1.853984665	0.890629311	1.14E-07	8.89E-07
sapF	291.9860603	366.080943	217.8911775	0.595199454	-0.748554891	1.16E-07	9.00E-07
t3020	3167.349444	2410.495029	3924.20386	1.627965962	0.703070536	1.19E-07	9.22E-07
t2302	94.71629425	62.23302746	127.199561	2.043923721	1.031341356	1.20E-07	9.29E-07
metB	281.8275774	160.3385521	403.3166027	2.515406291	1.330791445	1.21E-07	9.31E-07
yabI	456.8663079	341.753475	571.9791408	1.673660058	0.743006528	1.21E-07	9.34E-07
t1877	798.637028	982.8911735	614.3828825	0.62507722	-0.677893668	1.23E-07	9.49E-07
ykgC	426.176153	319.4506102	532.9016959	1.668181806	0.738276529	1.27E-07	9.76E-07
sprA	462.7629806	325.9613096	599.5646517	1.839373674	0.879214597	1.36E-07	1.04E-06
ileS	3618.606836	2724.121882	4513.091789	1.656714341	0.728324867	1.37E-07	1.05E-06
purU	1461.467864	1808.401074	1114.534655	0.616309441	-0.698273205	1.38E-07	1.06E-06
t1011	273.3632047	346.1950935	200.5313159	0.579243668	-0.787757726	1.40E-07	1.07E-06
metF	327.4670689	227.8283569	427.1057808	1.874682268	0.9066461	1.40E-07	1.07E-06
artP	617.5821804	795.0792129	440.0851479	0.553511073	-0.853315918	1.42E-07	1.08E-06
t3606	186.2710646	135.5064847	237.0356446	1.749256836	0.806742129	1.49E-07	1.13E-06
ybiP	458.4171986	344.6229062	572.2114909	1.66039889	0.731529873	1.49E-07	1.13E-06
map	1461.944976	1856.830521	1067.059431	0.574667111	-0.799201611	1.56E-07	1.18E-06
pagD	128.4113874	167.2365416	89.58623316	0.535685756	-0.90054116	1.65E-07	1.24E-06
yfeC	117.6402037	153.7607061	81.51970127	0.530172521	-0.915466197	1.68E-07	1.26E-06
phrB	152.2699512	111.4213228	193.1185795	1.733228207	0.793461621	1.68E-07	1.26E-06
mdlB	290.9945695	208.8596589	373.1294801	1.786508137	0.837142485	1.67E-07	1.26E-06
t0322	205.459939	149.3438843	261.5759938	1.751501208	0.808591983	1.70E-07	1.27E-06
t0020	134.9965045	93.41823686	176.5747722	1.890153123	0.918503114	1.71E-07	1.28E-06
t0864	107.8703682	145.1086191	70.63211732	0.486753425	-1.038736965	1.76E-07	1.31E-06
t3343	39.60435016	21.71805075	57.49064956	2.647136717	1.404432708	1.85E-07	1.38E-06
atpE	1508.331982	2125.844284	890.8196795	0.419042771	-1.25483059	1.87E-07	1.40E-06
secG	7680.40684	10021.81935	5338.994335	0.532737036	-0.908504513	1.90E-07	1.41E-06
t1472	251.5136542	334.6031529	168.4241555	0.503354956	-0.990351975	1.90E-07	1.41E-06
tehA	386.6296646	501.7522639	271.5070654	0.541117769	-0.885985479	1.90E-07	1.41E-06
nei	980.0644407	1209.196364	750.9325173	0.621017843	-0.687293375	1.91E-07	1.41E-06
t1409	798.4245471	989.7273465	607.1217478	0.613423232	-0.705045288	1.92E-07	1.42E-06
sapD	287.7063247	371.4432767	203.9693727	0.549126571	-0.864789374	1.93E-07	1.42E-06
t3008	455.3066486	633.3795504	277.2337467	0.437705554	-1.191967406	1.94E-07	1.43E-06
ivbL	112.5512821	148.2958502	76.8067139	0.517928949	-0.949173896	1.97E-07	1.45E-06
yffH	410.381372	508.1568116	312.6059325	0.615176114	-0.700928608	1.99E-07	1.46E-06
acpP	10626.25787	13847.92892	7404.586808	0.534707164	-0.903179088	2.01E-07	1.47E-06
t1496	725.640799	930.2258905	521.0557076	0.560138901	-0.836143471	2.09E-07	1.53E-06
zntR	1173.352342	1439.832896	906.8717878	0.629845165	-0.666930881	2.11E-07	1.54E-06
nusA	1924.573593	1469.395405	2379.751782	1.619544865	0.695588434	2.12E-07	1.54E-06
tyrP	610.4157907	456.7961355	764.0354459	1.672596124	0.742089125	2.25E-07	1.63E-06
t1442	540.8886453	679.0657753	402.7115153	0.593037567	-0.753804597	2.32E-07	1.68E-06
garL	272.1538526	207.1034581	337.2042472	1.628192258	0.703271064	2.43E-07	1.76E-06
thrS	7043.79645	8981.421785	5106.171114	0.568525923	-0.814701961	2.45E-07	1.77E-06
t2145	7313.73519	9302.937671	5324.532709	0.572349606	-0.805031444	2.45E-07	1.77E-06
t4467	137.6556543	96.97652898	178.3347796	1.838947851	0.878880568	2.66E-07	1.92E-06
ppa	2947.144489	3905.808234	1988.480744	0.509108647	-0.973954526	2.68E-07	1.93E-06
t1126	519.5896839	393.1370619	646.0423059	1.643300438	0.716596266	2.72E-07	1.95E-06
tctE	1077.422558	1355.310456	799.5346597	0.589927316	-0.761390881	2.80E-07	2.00E-06
yjeM	377.1888518	287.9107235	466.4669801	1.62017925	0.696153436	2.79E-07	2.00E-06
ppiA	1937.689051	2397.420578	1477.957523	0.6164782	-0.697878216	2.82E-07	2.02E-06
glnP	732.5384232	937.4141661	527.6626803	0.562891728	-0.829070646	2.87E-07	2.05E-06
sfsA	526.3336806	670.2494858	382.4178753	0.57056049	-0.809548247	2.89E-07	2.06E-06
t4323	2859.695769	2241.95357	3477.437968	1.551074926	0.633268379	2.94E-07	2.09E-06
rcsC	1680.958033	2075.196762	1286.719304	0.620046893	-0.689550768	3.02E-07	2.15E-06
t2294	1018.836939	1296.007182	741.6666964	0.572270514	-0.80523082	3.14E-07	2.23E-06
nagC	767.2643527	946.7241867	587.8045186	0.620882541	-0.687607731	3.26E-07	2.31E-06
ruvA	676.6568866	523.6199964	829.6937768	1.584534171	0.664058772	3.27E-07	2.31E-06
t1802	632.88237	788.494281	477.270459	0.605293495	-0.724293249	3.34E-07	2.36E-06
t1156	2966.939688	3877.119241	2056.760135	0.530486685	-0.914611553	3.39E-07	2.39E-06
cmk	591.8745665	726.3875927	457.3615404	0.629638426	-0.667404506	3.57E-07	2.51E-06
sopE	317.8593015	197.870635	437.847968	2.212799125	1.145872491	3.57E-07	2.51E-06
ybeZ	2755.839697	3436.658677	2075.020718	0.603790167	-0.727880832	3.58E-07	2.51E-06
rplJ	7874.779706	9967.031344	5782.528067	0.580165535	-0.785463502	3.64E-07	2.55E-06
truB	741.0209696	571.0130796	911.0288595	1.595460581	0.673972964	3.86E-07	2.69E-06
tgt	605.3327263	740.9548973	469.7105553	0.633925974	-0.657613713	3.85E-07	2.69E-06
tdcD	71.24040937	46.95279693	95.52802181	2.034554447	1.024712889	3.94E-07	2.75E-06
fliC	4824.698796	3585.541161	6063.856432	1.691196994	0.758044717	4.17E-07	2.90E-06
yijD	1767.142168	1369.80221	2164.482125	1.580142088	0.660054293	4.23E-07	2.94E-06
t0645	70.50763264	99.15840656	41.85685872	0.422121131	-1.244271044	4.52E-07	3.14E-06
invF	229.829166	168.281035	291.377297	1.731492185	0.792015876	4.93E-07	3.41E-06
rhaB	125.6408904	90.80864353	160.4731373	1.767157079	0.821430284	4.95E-07	3.42E-06
malP	328.1996557	255.3628901	401.0364213	1.570456933	0.651184381	5.07E-07	3.50E-06
t1560	711.8885465	897.1964742	526.5806188	0.586917842	-0.768769528	5.16E-07	3.54E-06
ilvH	290.2252157	374.152317	206.2981143	0.551374681	-0.858895075	5.16E-07	3.54E-06
t0522	421.7535092	327.353047	516.1539713	1.576750166	0.656954085	5.22E-07	3.58E-06
t1718	262.5893613	327.7738759	197.4048466	0.602259244	-0.731543463	5.25E-07	3.60E-06
t1577	492.3301724	618.0852785	366.5750663	0.593081698	-0.753697244	5.30E-07	3.62E-06
t0523	271.3645772	195.847091	346.8820633	1.771188235	0.824717544	5.31E-07	3.62E-06
torD	130.7712637	86.71608444	174.826443	2.016078611	1.011551893	5.30E-07	3.62E-06
rbsK	1089.984514	1334.143988	845.8250398	0.633983324	-0.657483203	5.37E-07	3.66E-06
cspC	14019.66231	18312.02234	9727.302277	0.531197598	-0.912679473	5.47E-07	3.72E-06
smvA	1156.857733	900.4967424	1413.218723	1.56937683	0.650191806	5.74E-07	3.90E-06
t3282	333.6080978	420.5056904	246.7105053	0.586699564	-0.769306175	5.83E-07	3.95E-06
rplQ	2585.657282	1985.025919	3186.288645	1.605162237	0.682719121	5.90E-07	4.00E-06
yhjJ	1042.057202	793.9723028	1290.142101	1.624920789	0.700369392	6.04E-07	4.08E-06
t1867	92.06077832	59.61356077	124.5079959	2.088585118	1.06252594	6.13E-07	4.14E-06
t4124	140.9559782	98.0828557	183.8291006	1.874222557	0.906292278	6.21E-07	4.19E-06
bcfA	90.05019155	61.012756	119.0876271	1.951848022	0.964840724	6.32E-07	4.25E-06
yedJ	341.1549097	264.2069858	418.1028336	1.58248213	0.662189208	6.51E-07	4.37E-06
t2048	524.1578651	393.4356447	654.8800855	1.664516406	0.735103091	6.72E-07	4.50E-06
metC	753.0755933	959.1270399	547.0241467	0.570335445	-0.8101174	6.80E-07	4.55E-06
t1669	326.4668522	408.9298457	244.0038587	0.5966888	-0.744949398	7.24E-07	4.84E-06
t0535	101.230605	136.0292816	66.43192842	0.488364914	-1.03396854	7.30E-07	4.87E-06
sapA	569.3478332	722.8355629	415.8601035	0.575317714	-0.797569204	7.33E-07	4.89E-06
rna	4902.073846	6302.81244	3501.335253	0.555519506	-0.848090525	7.36E-07	4.90E-06
ahpC	3058.468725	4227.028943	1889.908507	0.447100915	-1.161327597	7.53E-07	5.00E-06
t1715	865.3324355	1052.375593	678.2892784	0.644531556	-0.633677101	7.71E-07	5.12E-06
t3766	138.6606126	93.32842138	183.9928037	1.971455222	0.979260943	8.10E-07	5.36E-06
t3812	226.3302869	150.8495189	301.8110548	2.000742574	1.000535554	8.30E-07	5.49E-06
thiE	38.00602113	21.13155905	54.88048321	2.597086333	1.376893973	8.33E-07	5.50E-06
t2965	795.9437624	978.5314243	613.3561005	0.62681288	-0.673893269	8.50E-07	5.60E-06
relB	541.681242	683.021857	400.3406269	0.586131502	-0.770703717	8.51E-07	5.60E-06
pspB	2712.540555	1750.909279	3674.171832	2.098436439	1.069314765	8.62E-07	5.66E-06
t2872	711.3519431	870.1361657	552.5677206	0.63503592	-0.655089896	8.76E-07	5.75E-06
t0619	55.99726671	33.05088364	78.94364978	2.38854884	1.256134377	8.91E-07	5.84E-06
pstA	245.746059	184.5883803	306.9037378	1.662638446	0.733474477	9.40E-07	6.15E-06
t1306	52.57358812	74.74088274	30.40629351	0.406822777	-1.297527639	9.43E-07	6.16E-06
cheM	1325.818095	829.5377903	1822.098399	2.196522474	1.13522126	9.47E-07	6.18E-06
t3252	254.2315723	315.7122463	192.7508983	0.610527151	-0.711872639	9.57E-07	6.23E-06
leuA	287.5864246	197.3813585	377.7914907	1.914018089	0.936604465	9.59E-07	6.23E-06
t3148	802.957687	968.2404045	637.6749694	0.658591571	-0.602544046	9.74E-07	6.33E-06
putA	217.6226667	169.7946648	265.4506685	1.563362835	0.644652646	9.80E-07	6.36E-06
t2025	462.6040278	578.2570455	346.9510102	0.599994437	-0.736978972	1.01E-06	6.52E-06
t4119	469.6316655	584.7795027	354.4838282	0.606183744	-0.722172932	1.04E-06	6.71E-06
t1066	566.7603423	694.925127	438.5955576	0.631140738	-0.663966347	1.06E-06	6.85E-06
t0867	120.7392937	160.2356517	81.24293565	0.507021595	-0.9798809	1.09E-06	7.01E-06
gcpE	1757.32202	2161.988186	1352.655855	0.625653676	-0.676563806	1.09E-06	7.01E-06
t4379	1265.203392	1536.513772	993.8930118	0.6468494	-0.628498233	1.10E-06	7.04E-06
t2541	23484.04784	16278.44776	30689.64793	1.885293266	0.914788959	1.14E-06	7.31E-06
ygjM	11013.14372	8252.140429	13774.14701	1.66916052	0.739122703	1.16E-06	7.43E-06
caiF	225.3912731	280.1848424	170.5977039	0.608875564	-0.715780681	1.21E-06	7.75E-06
soxR	381.450536	464.9793357	297.9217362	0.640720379	-0.642233217	1.22E-06	7.80E-06
cutA	531.3388757	653.6711204	409.006631	0.625707054	-0.676440726	1.25E-06	7.99E-06
t2809	79.48334356	108.3477716	50.61891557	0.467189263	-1.097920976	1.26E-06	8.02E-06
t2643	574.571158	449.0567761	700.0855399	1.559013419	0.640633346	1.31E-06	8.34E-06
t2079	83.93224258	55.0908291	112.7736561	2.047049535	1.033546013	1.32E-06	8.41E-06
yiiD	1972.923898	1538.666326	2407.18147	1.564459707	0.645664502	1.33E-06	8.45E-06
t2641	2024.620156	2598.484141	1450.75617	0.558308649	-0.840865189	1.33E-06	8.45E-06
t0492	683.3994329	491.8431398	874.955726	1.778932459	0.831011737	1.39E-06	8.82E-06
deoB	3010.183453	2403.791886	3616.57502	1.504529174	0.589312082	1.40E-06	8.86E-06
modE	801.159211	974.6163042	627.7021178	0.6440505	-0.634754281	1.42E-06	8.95E-06
yjaH	799.5758078	593.2508046	1005.900811	1.695574289	0.761773995	1.44E-06	9.07E-06
t1852	901.9170078	1202.423477	601.4105388	0.500165333	-0.999523028	1.45E-06	9.11E-06
nifU	10063.8151	12813.29026	7314.339933	0.570840103	-0.808841403	1.46E-06	9.19E-06
ksgA	581.2709451	712.4060266	450.1358635	0.63185297	-0.662339208	1.47E-06	9.19E-06
metE	338.2962935	261.0111656	415.5814213	1.592197868	0.671019635	1.56E-06	9.76E-06
t0367	466.1831244	574.5676138	357.7986351	0.622726771	-0.683328792	1.58E-06	9.86E-06
rmf	4562.145622	5768.507317	3355.783928	0.581742164	-0.781548223	1.61E-06	1.01E-05
srlM	139.2518999	175.3407471	103.1630527	0.588357552	-0.765234931	1.64E-06	1.02E-05
t2820	385.4464337	475.2075028	295.6853647	0.622223688	-0.684494777	1.69E-06	1.05E-05
mgsA	1012.763927	1240.285762	785.2420924	0.633113849	-0.659463141	1.75E-06	1.09E-05
mutY	262.4347715	325.2570432	199.6124998	0.613706925	-0.704378232	1.83E-06	1.13E-05
t3047	131.5711839	179.9461181	83.1962497	0.462339786	-1.112974578	1.83E-06	1.14E-05
t3815	575.9133246	462.12026	689.7063893	1.492482475	0.577713991	1.87E-06	1.15E-05
t1501	366.043294	466.9151262	265.1714618	0.567922192	-0.816234808	1.87E-06	1.15E-05
malZ	150.5768571	111.9788128	189.1749013	1.689381202	0.756494903	1.89E-06	1.17E-05
purT	214.6968922	162.4830625	266.9107219	1.642698739	0.716067923	1.97E-06	1.21E-05
tolA	960.5260489	736.4647722	1184.587326	1.608477921	0.685696133	1.98E-06	1.22E-05
opdB	3827.252126	2988.514368	4665.989884	1.561307496	0.642754701	2.03E-06	1.25E-05
t1706	15669.90727	9983.929965	21355.88458	2.13902588	1.096953938	2.05E-06	1.26E-05
sthA	107.8186643	75.85165627	139.7856723	1.842882267	0.881963907	2.08E-06	1.27E-05
yicN	151.902309	191.6270614	112.1775566	0.585395172	-0.772517247	2.14E-06	1.31E-05
t0678	134.1241289	100.1375919	168.1106658	1.67879677	0.747427593	2.19E-06	1.34E-05
t2582	76.25334194	50.97099349	101.5356904	1.992028866	0.994238554	2.19E-06	1.34E-05
livK	144.1966875	88.72388616	199.6694888	2.250459233	1.170219431	2.24E-06	1.37E-05
nrdD	261.7985829	193.982349	329.6148168	1.699200048	0.764855712	2.28E-06	1.38E-05
yeiO	115.2042196	78.66000887	151.7484303	1.929168741	0.947979339	2.26E-06	1.38E-05
glpK	569.7608239	451.9125698	687.609078	1.521553336	0.605544906	2.31E-06	1.40E-05
iagB	112.8452605	84.1842412	141.5062798	1.680911745	0.749243979	2.31E-06	1.40E-05
wza	106.112883	75.62938614	136.5963799	1.80612837	0.852900435	2.31E-06	1.40E-05
t3752	143.5059367	181.7589094	105.252964	0.579080081	-0.788165223	2.35E-06	1.42E-05
cadC	1529.511146	1847.09827	1211.924022	0.656123197	-0.607961367	2.38E-06	1.43E-05
div	947.8252548	743.1203745	1152.530135	1.5509333	0.633136643	2.40E-06	1.45E-05
t1641	92.6602459	123.9586619	61.36182992	0.495018492	-1.014445674	2.43E-06	1.46E-05
sapB	531.5389146	408.6516509	654.4261782	1.601427956	0.679358897	2.43E-06	1.46E-05
citE	72.75615197	45.5019311	100.0103728	2.197936888	1.136149961	2.50E-06	1.50E-05
prpR	752.0471613	1005.061672	499.0326504	0.496519432	-1.010077915	2.57E-06	1.53E-05
t1238	236.9369281	309.0113537	164.8625025	0.533516004	-0.906396547	2.56E-06	1.53E-05
pipB	3357.002803	4166.077432	2547.928174	0.61158925	-0.709365045	2.60E-06	1.55E-05
t3973	116.5524701	73.30489121	159.8000489	2.179937059	1.124286481	2.61E-06	1.55E-05
invA	195.2634666	135.7438939	254.7830393	1.876939227	0.908381938	2.59E-06	1.55E-05
dmsA	184.6396859	232.9508	136.3285719	0.585224742	-0.77293733	2.63E-06	1.56E-05
t2657	787.1092759	949.5985546	624.6199972	0.657772692	-0.604338981	2.72E-06	1.62E-05
tag	958.8748141	1153.282637	764.4669916	0.662861789	-0.593220005	2.75E-06	1.63E-05
t1247	320.2187394	388.8305324	251.6069464	0.647086392	-0.627969756	2.79E-06	1.65E-05
t3084	977.730741	784.016108	1171.445374	1.494159829	0.57933448	2.93E-06	1.73E-05
wrbA	797.4005309	980.9683379	613.832724	0.625741627	-0.676361013	2.94E-06	1.73E-05
t1170	3890.632785	4810.604956	2970.660613	0.617523293	-0.695434539	2.92E-06	1.73E-05
t2222	150.3186619	190.4378474	110.1994764	0.578663737	-0.789202858	2.93E-06	1.73E-05
sipD	306.3629233	230.3178488	382.4079979	1.660348948	0.731486478	2.94E-06	1.73E-05
glpD	526.3308278	419.826438	632.8352176	1.507373429	0.592036867	2.95E-06	1.73E-05
t1909	4659.04938	5763.085894	3555.012867	0.616859254	-0.69698674	2.97E-06	1.74E-05
t0729	54.65815364	29.20317484	80.11313245	2.743302154	1.455913533	3.01E-06	1.77E-05
yebE	7247.3233	5601.339377	8893.307222	1.587710836	0.666948183	3.02E-06	1.77E-05
t1004	397.8107164	486.7044019	308.9170309	0.634711808	-0.655826412	3.03E-06	1.77E-05
t1432	1574.651129	1921.283259	1228.018998	0.639166033	-0.645737354	3.16E-06	1.84E-05
t0973	866.7054482	1089.41929	643.9916062	0.59113292	-0.758445528	3.16E-06	1.84E-05
t0677	172.5892122	133.3352106	211.8432137	1.588801733	0.667939102	3.18E-06	1.85E-05
yiiL	338.7726552	263.5177468	414.0275636	1.571156283	0.651826693	3.29E-06	1.91E-05
t0521	134.5492463	97.70572679	171.3927658	1.754173184	0.810791187	3.36E-06	1.95E-05
purN	642.2303682	776.0231745	508.4375618	0.655183477	-0.61002912	3.45E-06	2.00E-05
rpmC	2521.126022	1982.590786	3059.661258	1.543264136	0.625985007	3.51E-06	2.03E-05
yaeB	294.7079179	362.6431457	226.7726901	0.6253329	-0.677303672	3.53E-06	2.04E-05
t2012	97.36220639	65.20941097	129.5150018	1.986139729	0.989967123	3.54E-06	2.04E-05
ribF	1027.338381	811.648317	1243.028445	1.531486506	0.614932655	3.56E-06	2.05E-05
yihZ	554.1625742	437.3910684	670.9340801	1.533945543	0.617247267	3.60E-06	2.07E-05
bcp	1841.748596	2240.361435	1443.135757	0.644153097	-0.634524478	3.61E-06	2.07E-05
t2425	59.44274294	34.12380163	84.76168426	2.483946108	1.312633873	3.66E-06	2.10E-05
recQ	700.0017883	557.1574824	842.8460942	1.512760971	0.597184048	3.71E-06	2.13E-05
t0951	98.10490846	126.5357374	69.6740795	0.55062768	-0.86085096	3.75E-06	2.15E-05
moaA	765.2646212	925.2464032	605.2828392	0.654185563	-0.612228173	3.91E-06	2.23E-05
bcfE	65.16843654	90.69044478	39.64642831	0.437162133	-1.193759654	3.97E-06	2.26E-05
t1684	267.1460048	328.3157369	205.9762727	0.627372524	-0.672605747	3.95E-06	2.26E-05
lrp	1712.783026	2091.724014	1333.842039	0.637675922	-0.649104687	3.99E-06	2.27E-05
t3567	80.61654434	56.3974397	104.835649	1.858872487	0.894427809	4.00E-06	2.28E-05
clpP	3727.675962	4550.356269	2904.995656	0.638410596	-0.647443499	4.04E-06	2.29E-05
t2997	392.6611073	473.152341	312.1698737	0.659766098	-0.599973448	4.08E-06	2.32E-05
rplP	3377.627208	2634.563807	4120.690609	1.56408837	0.645322026	4.10E-06	2.32E-05
oppD	301.0048184	397.5936817	204.4159551	0.514132806	-0.959787025	4.13E-06	2.34E-05
tolC	4343.649404	5432.88111	3254.417697	0.59902244	-0.739318047	4.26E-06	2.41E-05
lctD	114.4289347	81.541729	147.3161405	1.806634987	0.853305053	4.52E-06	2.55E-05
t1566	3830.911511	4960.436835	2701.386188	0.544586349	-0.876767275	4.52E-06	2.55E-05
himD	1675.264496	2031.405844	1319.123149	0.649364652	-0.622899241	4.63E-06	2.61E-05
dsrB	261.801195	339.0285884	184.5738016	0.54441958	-0.877209141	4.67E-06	2.62E-05
rpmF	1381.181665	1693.601242	1068.762089	0.631058871	-0.664153494	4.67E-06	2.62E-05
pcm	352.968443	429.8895852	276.0473008	0.642135354	-0.639050664	4.72E-06	2.65E-05
glnB	1066.193062	1283.936396	848.4497284	0.660819127	-0.597672649	4.82E-06	2.70E-05
epd	862.7068709	1063.745983	661.6677592	0.622016694	-0.684974794	4.88E-06	2.73E-05
yjfN	824.2734343	1041.442475	607.1043935	0.582945682	-0.778566634	5.12E-06	2.86E-05
prgH	242.3065563	181.7844118	302.8287009	1.665867265	0.736273453	5.28E-06	2.95E-05
t0642	553.2871871	440.0632252	666.511149	1.51458043	0.598918193	5.45E-06	3.03E-05
artJ	149.7995651	188.6301765	110.9689537	0.588288447	-0.76540439	5.53E-06	3.07E-05
gmk	2104.379514	2532.419825	1676.339204	0.66195154	-0.59520249	5.51E-06	3.07E-05
osmE	572.3470176	690.1192639	454.5747713	0.658690164	-0.602328087	5.55E-06	3.08E-05
cheZ	548.899164	419.9222342	677.8760938	1.614289596	0.690899415	5.63E-06	3.11E-05
ispA	1141.820283	1380.42954	903.2110253	0.654297086	-0.61198225	5.63E-06	3.11E-05
staA	38.33122064	24.18157491	52.48086637	2.170283224	1.117883328	5.63E-06	3.11E-05
t2956	1254.772741	1518.853272	990.6922092	0.652263275	-0.616473694	5.65E-06	3.12E-05
t2895	548.0003736	661.5047881	434.4959591	0.656829651	-0.606408839	5.66E-06	3.12E-05
t0660	457.6578386	367.9018503	547.4138269	1.487934422	0.573310943	5.68E-06	3.13E-05
gtrA	204.0476662	259.9781177	148.1172147	0.569729545	-0.811650871	5.90E-06	3.24E-05
glnL	346.3721	272.4562411	420.2879589	1.542588847	0.625353586	5.90E-06	3.24E-05
t2454	226.7968695	281.2956159	172.2981232	0.612516205	-0.707180081	5.94E-06	3.26E-05
prpC	417.7234099	284.5752724	550.8715474	1.935767443	0.952905642	5.97E-06	3.27E-05
t0817	84.83925757	56.46412089	113.2143943	2.005067864	1.003651067	6.07E-06	3.32E-05
fumB	317.9536821	242.7118236	393.1955405	1.620009832	0.696002569	6.25E-06	3.42E-05
t4287	190.659125	143.2585095	238.0597405	1.661749388	0.732702822	6.32E-06	3.45E-05
t1492	234.4179873	290.3924208	178.4435537	0.614491085	-0.702536014	6.58E-06	3.58E-05
allB	408.3721249	265.0229651	551.7212847	2.081786703	1.057822259	6.58E-06	3.58E-05
artQ	233.0398176	287.3722255	178.7074096	0.621867368	-0.685321179	6.77E-06	3.68E-05
ydhZ	68.94700005	91.36560392	46.52839618	0.509255061	-0.973539683	6.80E-06	3.69E-05
t2161	76.41136237	99.71399387	53.10873086	0.532610608	-0.908846933	6.83E-06	3.70E-05
yojN	1664.115799	2011.589959	1316.641639	0.654527844	-0.611473528	6.84E-06	3.70E-05
sodC	239.1294474	305.3367012	172.9221935	0.566332815	-0.820277969	6.87E-06	3.72E-05
t1645	647.1587129	776.4398611	517.8775646	0.666989925	-0.584263126	6.91E-06	3.73E-05
btuR	493.4575987	606.1755945	380.739603	0.628101175	-0.670931127	6.98E-06	3.77E-05
rcsB	1907.984634	2356.795839	1459.173429	0.619134422	-0.691675425	6.99E-06	3.77E-05
t2119	206.5731439	258.3529754	154.7933124	0.599154363	-0.739000355	7.01E-06	3.77E-05
t1840	558.0074813	669.99826	446.0167026	0.6656983	-0.587059611	7.13E-06	3.83E-05
t0354	449.6064661	348.3441563	550.868776	1.581392327	0.66119533	7.13E-06	3.83E-05
rpoN	3557.41056	4769.292012	2345.529108	0.491798175	-1.023861713	7.23E-06	3.88E-05
invG	208.2021932	134.436818	281.9675684	2.097398411	1.068600934	7.25E-06	3.89E-05
glpX	130.4150748	99.11269213	161.7174575	1.631652354	0.706333704	7.30E-06	3.91E-05
emrB	252.4920255	175.6191837	329.3648673	1.875449256	0.907236228	7.41E-06	3.96E-05
t2451	135.4355293	176.9144836	93.95657499	0.531084697	-0.912986134	7.48E-06	3.99E-05
hrpA	1216.364829	1465.552695	967.1769628	0.65994008	-0.599593056	7.65E-06	4.08E-05
t2603	539.1049601	647.0830245	431.1268956	0.666262101	-0.585838263	7.70E-06	4.10E-05
melA	247.9593187	189.5211367	306.3975006	1.616693029	0.693045772	7.82E-06	4.16E-05
t4277	1266.004631	1546.129721	985.8795413	0.637643483	-0.649178079	8.23E-06	4.37E-05
umuD	263.2829531	180.349576	346.2163303	1.919695837	0.940877744	8.23E-06	4.37E-05
t3409	140.318648	80.89592512	199.7413709	2.469115356	1.30399424	8.28E-06	4.39E-05
t3568	85.12926044	56.45871885	113.799802	2.015628487	1.011229751	8.29E-06	4.39E-05
t3233	472.5327286	561.8771991	383.188258	0.681978658	-0.552201504	8.39E-06	4.44E-05
t1664	679.9398934	820.3415814	539.5382054	0.657699448	-0.604499635	8.52E-06	4.50E-05
argG	539.2222833	645.8771453	432.5674213	0.66973638	-0.578334757	8.63E-06	4.55E-05
t3186	990.3971048	1169.352061	811.4421484	0.693924589	-0.527149206	8.66E-06	4.56E-05
t2149	179.1074286	219.7968117	138.4180456	0.629754565	-0.66713842	8.96E-06	4.71E-05
t1340	447.9450853	323.7907092	572.0994615	1.766880411	0.821204397	9.00E-06	4.73E-05
t0591	211.405461	160.6815651	262.1293569	1.631359246	0.706074517	9.27E-06	4.87E-05
deoD	341.5685602	278.412861	404.7242594	1.453683777	0.539713471	9.32E-06	4.89E-05
nanT	493.0658327	612.4610451	373.6706203	0.610113285	-0.712850949	9.62E-06	5.03E-05
